Date,N,windows_1,scaled_windows_1,MLEs_B_1,MLEs_B_2,MLEs_B_3,MLEs_sigma_2
0,0.0,,,,,,
1,0.0,,,,,,
2,0.0,,,,,,
3,-0.826387590194094,,,,,,
4,-0.756553401635308,,,,,,
5,0.9941063460805653,,,,,,
6,1.4759738843962409,,,,,,
7,1.4665073088272251,,,,,,
8,1.0305949971635289,,,,,,
9,0.6613849221469743,,,,,,
10,-0.7520253924506455,,,,,,
11,-2.1638773236787876,,,,,,
12,-2.733143736312344,,,,,,
13,-2.104222799998934,,,,,,
14,-2.0772234690327283,,,,,,
15,-1.8416369366271543,,,,,,
16,-1.0735346912138817,,,,,,
17,-0.5735182702884949,,,,,,
18,0.0743790430651477,,,,,,
19,0.1155967045381027,,,,,,
20,1.0400322529347927,,,,,,
21,0.0489732691191603,,,,,,
22,0.2370454585655497,,,,,,
23,-0.2367851869484288,,,,,,
24,1.2435978171203617,,,,,,
25,0.4366205464386556,,,,,,
26,-0.0845058330749342,,,,,,
27,-0.5251201665294185,,,,,,
28,0.1269188571573589,,,,,,
29,0.5044844788626898,,,,,,
30,-1.178791603909054,,,,,,
31,-1.3435053885293329,,,,,,
32,-1.0021562219203912,,,,,,
33,-0.2814638373395112,,,,,,
34,1.0921484313991257,,,,,,
35,-0.4372084398154433,,,,,,
36,0.5450672980534723,,,,,,
37,-0.1510315149021628,,,,,,
38,0.3162707723047349,,,,,,
39,1.2019672852894234,,,,,,
40,0.2110313334045882,,,,,,
41,0.5914565687576352,,,,,,
42,1.8648037056463251,,,,,,
43,1.7027351761071687,,,,,,
44,2.4514391918695373,,,,,,
45,1.600315031328544,,,,,,
46,1.6219675940752465,,,,,,
47,0.7328364333041605,,,,,,
48,-0.1571389797946383,,,,,,
49,0.7782691298632526,,,,,,
50,0.1989041841528644,,,,,,
51,0.3668433874676244,,,,,,
52,1.8434713937474176,,,,,,
53,2.4640879566772615,,,,,,
54,4.223811992527587,,,,,,
55,3.0650243901147824,,,,,,
56,2.0354380842329425,,,,,,
57,3.507197451589806,,,,,,
58,3.9260709680105794,,,,,,
59,3.056193518252261,,,,,,
60,1.5199176926571998,,,,,,
61,2.1792853902911355,,,,,,
62,3.3410414175668164,,,,,,
63,3.946519107854763,,,,,,
64,3.1783833543100326,,,,,,
65,4.008593793017942,,,,,,
66,3.548850370181015,,,,,,
67,2.354762580478935,,,,,,
68,2.9685039734259075,,,,,,
69,3.9608611556987343,,,,,,
70,2.738127512793393,,,,,,
71,2.9834045634820288,,,,,,
72,2.9700712159598153,,,,,,
73,3.150660746986653,,,,,,
74,3.0319925349621606,,,,,,
75,1.565194407659796,,,,,,
76,3.3446887081620176,,,,,,
77,2.795021496846121,,,,,,
78,1.7549560411009968,,,,,,
79,1.9923461600210977,,,,,,
80,1.8138301176854597,,,,,,
81,1.7849030537565371,,,,,,
82,0.9040753319744548,,,,,,
83,0.0485378681654046,,,,,,
84,0.6699692922841171,,,,,,
85,-0.6859751249556493,,,,,,
86,-0.412972832591309,,,,,,
87,-0.193610677226746,,,,,,
88,-3.0294699523312785,,,,,,
89,-2.360043206323713,,,,,,
90,-3.4007131080404083,,,,,,
91,-3.794933344841807,,,,,,
92,-2.9576233421189277,,,,,,
93,-3.4730530809313405,,,,,,
94,-3.2312616784770816,,,,,,
95,-3.9940570495180823,,,,,,
96,-4.096345764812606,,,,,,
97,-3.4802074149261357,,,,,,
98,-4.297447091385175,,,,,,
99,-4.014283331956794,,,,,,
100,-4.187306559804374,100.0,0.9900990099009901,0.805608206095893,0.05254434689271139,0.10119965858939357,0.75739400460124
101,-3.6901302465185433,100.0,0.9803921568627451,0.8030980987027757,0.05457620913657753,0.09848812999409695,0.7583756040310279
102,-3.669349577238369,100.0,0.970873786407767,0.8046471519056317,0.07180803832155976,0.08164853272739032,0.7302164201629938
103,-3.4926209671060597,100.0,0.9615384615384616,0.7852811187636302,0.08762168396967132,0.08502151454707824,0.7234208440233068
104,-4.0769892921169735,100.0,0.9523809523809523,0.7820556193747217,0.08548593622455149,0.09544103392518406,0.7274404119279962
105,-3.878412835203352,100.0,0.9433962264150944,0.7830943572117854,0.08721968599958088,0.09380789961219753,0.7262742983594418
106,-4.516839240441539,100.0,0.9345794392523364,0.7816834819403402,0.09730483807530607,0.09197473952147561,0.730778267499827
107,-3.442787199852218,100.0,0.9259259259259259,0.7644012046788824,0.10342316185751647,0.09985624529920412,0.7144405414784227
108,-5.775971666961249,100.0,0.9174311926605505,0.7022826921121459,0.1701112923809386,0.11287158609154221,0.731405363746959
109,-6.554538685716755,100.0,0.9090909090909091,0.7151383969165616,0.1226224134669405,0.15800341979575588,0.735703258563072
110,-5.386258349227459,100.0,0.9009009009009009,0.7074789604562206,0.11489020528917017,0.1697992311644115,0.7380533716847982
111,-4.687825381079524,100.0,0.8928571428571429,0.7167956105604906,0.09787028407182723,0.1696826826502425,0.7450078270358544
112,-4.632186206201473,100.0,0.8849557522123894,0.7202992794888587,0.09736932894040463,0.1645129836860843,0.7453126132816696
113,-4.521388177869747,100.0,0.8771929824561403,0.7184909503711666,0.1003596253668188,0.16458545567714064,0.7389323828572483
114,-4.968748901973871,100.0,0.8695652173913043,0.7109002949950868,0.10566285625231533,0.17207088145119864,0.7356786853952367
115,-4.804888844656017,100.0,0.8620689655172413,0.7027674470238124,0.1035810673061535,0.18410936610690387,0.726952677004275
116,-3.96858239309675,100.0,0.8547008547008547,0.6990153486122404,0.09848392938936379,0.18840659852418998,0.7315819303695985
117,-2.677999621676267,100.0,0.847457627118644,0.711643964205633,0.08016902605964042,0.18502334190756545,0.7425374930440165
118,-1.6649975165374098,100.0,0.8403361344537815,0.7466189065060427,0.06623244597509742,0.15681863265569723,0.7572024095908607
119,-1.27715357496494,100.0,0.8333333333333334,0.7594683556830979,0.06574942567291256,0.14155236439336283,0.7627922150923466
120,-2.5233911619381395,100.0,0.8264462809917356,0.7525437123764732,0.05221584908303286,0.16511439576725534,0.7706873468332309
121,-3.366509907051946,100.0,0.819672131147541,0.778338857084639,0.024193426216645653,0.17016012629439634,0.7628942161510951
122,-3.926175345592207,100.0,0.8130081300813008,0.8039074271871123,0.017119309737899668,0.15496861452223606,0.7697854627223443
123,-4.531049689399836,100.0,0.8064516129032258,0.8103106692766672,0.030999992364869413,0.1384578296831269,0.7764154819702089
124,-4.314553692174589,100.0,0.8,0.8056481698484864,0.02911098710528277,0.14585514745316264,0.7721369064565778
125,-5.317911675578481,100.0,0.7936507936507936,0.8088817699878508,0.040376635492249846,0.13700145154145654,0.7826223971167411
126,-3.8150632295403017,100.0,0.7874015748031497,0.7880594823724795,0.06101446338898339,0.13015358979768257,0.7968503927779677
127,-5.515747156886431,100.0,0.78125,0.7728906185535004,0.10866754668192934,0.10536638355792603,0.7986673253534637
